#rank	DIAMOnD_node	p_hyper
1	LZTFL1	5.884892579413678e-09
2	UNC45A	1.6367595671845594e-08
3	HAUS8	2.4608498723990798e-08
4	DNAJC7	3.789900071331784e-08
5	GPATCH1	6.265753456654948e-08
6	PCM1	1.2665526944864915e-08
7	CEP162	2.1408117662468797e-09
8	CEP128	1.2800585806966262e-09
9	WDR83	8.583905830015647e-10
10	KIAA0753	1.425663969259966e-10
11	CEP120	2.788270456191373e-11
12	TBC1D31	8.156317143648249e-12
13	CEP89	2.7259053984651197e-12
14	SSX2IP	1.6260480174867536e-12
15	CSPP1	3.0156529719860337e-13
16	CNTRL	3.460628852125227e-13
17	CCDC138	1.7184296880307257e-14
18	HAUS3	3.3407273972146973e-14
19	ODF2	2.9946528961205494e-14
20	HAUS6	2.2094873212927407e-15
21	CEP135	3.3072080441164247e-16
22	HAUS4	4.835380189731464e-17
23	NIN	6.131104332534507e-18
24	HAUS7	3.5313333846763337e-19
25	SASS6	5.099645316704229e-19
26	CCDC14	3.0279883477206015e-19
27	FGFR1OP	5.764509836554022e-20
28	CEP131	8.489970024613007e-21
29	PIBF1	1.1313820525373698e-20
30	NDC80	2.7299646187841435e-21
31	SPICE1	2.694632396532943e-22
32	CEP63	1.7142991951843706e-23
33	MED4	1.0260148437648727e-23
34	CCDC66	1.0008443395830917e-25
35	CCDC77	1.1877104271028304e-24
36	MIB1	3.6438350743142974e-25
37	WRAP73	7.371812934084322e-25
38	CEP170	1.890531990125011e-23
39	HAUS2	1.8152755954041926e-24
40	CEP152	1.6406142267252019e-24
41	TCHP	7.144361264801839e-26
42	CENPJ	1.0205230832180385e-26
43	NINL	2.2504225518245355e-25
44	MPHOSPH9	1.5255321763256926e-25
45	PCNT	5.720664089321948e-26
46	KRT18	8.838928496604945e-26
47	HAUS5	1.4906047365298487e-26
48	HAUS1	1.794254545989051e-27
49	POC5	1.9489723821137264e-28
50	KRT19	7.105535775617231e-28
