#rank	DIAMOnD_node	p_hyper
1	LZTFL1	4.707524694033659e-09
2	UNC45A	1.1748856249264684e-08
3	HAUS8	1.8640717334507218e-08
4	DNAJC7	2.5351133004133566e-08
5	GPATCH1	4.8864382209519114e-08
6	PCM1	8.233135166227053e-09
7	CEP162	1.528639855016823e-09
8	CEP128	8.446976799545562e-10
9	WDR83	5.955880182356013e-10
10	KIAA0753	9.850847539497213e-11
11	CEP120	1.9747550100632413e-11
12	TBC1D31	6.113729500168423e-12
13	CEP89	1.8186670758039978e-12
14	SSX2IP	9.734506504675205e-13
15	CSPP1	2.063052532695421e-13
16	CNTRL	2.176816910875799e-13
17	CCDC138	1.1059268670423542e-14
18	HAUS3	2.2144744521773326e-14
19	ODF2	1.8752382343500778e-14
20	HAUS6	1.3396169431461881e-15
21	CEP135	1.789770475506717e-16
22	HAUS4	3.0018417198775467e-17
23	NIN	2.9527223308605512e-18
24	HAUS7	2.056873643077418e-19
25	SASS6	2.8046671034633463e-19
26	CCDC14	1.7127388811995789e-19
27	FGFR1OP	2.985673534369423e-20
28	CEP131	4.262052683216711e-21
29	PIBF1	5.682281978158774e-21
30	NDC80	1.223792962017092e-21
31	SPICE1	1.3080865527654268e-22
32	CEP63	8.290623635549174e-24
33	MED4	3.859822638890046e-24
34	CCDC66	6.142633397973347e-26
35	CCDC77	6.647253589718085e-25
36	MIB1	1.4778144829680116e-25
37	WRAP73	3.657618665975647e-25
38	CEP170	7.942625460412046e-24
39	TCHP	9.01491215866157e-25
40	CENPJ	9.036498871079455e-26
41	CEP152	3.1205648543826473e-26
42	HAUS2	4.061064424483853e-26
43	NINL	7.740979380231437e-26
44	MPHOSPH9	7.786028877985939e-26
45	PCNT	2.379169612548697e-26
46	KRT18	3.202479387026222e-26
47	HAUS5	6.94518904173024e-27
48	HAUS1	7.641349247401865e-28
49	POC5	9.318644218101648e-29
50	KRT19	2.6960947945475728e-28
51	CEP72	8.186953692926549e-29
52	TPTE2	2.2718770750221904e-26
53	CEP350	1.4623113660561491e-27
54	KRT8	7.032354537991952e-25
55	CCDC18	2.1520670207993462e-26
56	IFT74	3.7456524475481963e-25
57	STIL	5.464315467988793e-25
58	SDCCAG3	2.6291087133011264e-26
59	CEP192	1.7007790928604846e-26
60	FAM184A	5.820017766319326e-28
61	TNRC6B	1.2167228175134105e-26
62	NME7	7.419371192758097e-27
63	CEP104	1.1615379888160217e-27
64	KIAA1671	4.0620429681316414e-27
65	AGBL4	6.570013431698166e-26
66	LRRC49	3.833928629388889e-25
67	AMOT	6.661000515151017e-25
68	ALMS1	2.6608997035808458e-25
69	CEP85	5.492452573832413e-26
70	LUZP1	1.3719061188255578e-24
71	BICD1	2.6457786662969105e-24
72	C2CD3	4.126213281885167e-26
73	NEDD1	7.793562924649319e-25
74	CNTROB	2.763120905392848e-25
75	SYNE3	1.4193600373637454e-25
76	CEP44	2.620675423513764e-26
77	CEP97	1.4567060198216855e-26
78	CCP110	1.1976152224879485e-26
79	RQCD1	2.636803286535672e-26
80	PLEKHG1	1.126983623228736e-27
81	CDK5RAP2	3.2157562486748684e-25
82	CCDC96	1.8474032362313488e-26
83	DUSP16	1.4879765397810214e-25
84	IFT81	4.316793846808964e-25
85	ANAPC2	1.0370049306986098e-24
86	LATS2	3.4176943800518625e-25
87	LZTS2	2.337402567471522e-25
88	CEP55	1.7190493908806996e-24
89	TP53BP2	1.3698003369784397e-25
90	FBF1	7.159399897114129e-26
91	C17orf59	3.8343425737038175e-25
92	GOLGA1	7.219880938331885e-25
93	WHAMMP3	5.566996472877977e-25
94	SEPT10	5.183992181991194e-26
95	SPAG5	1.7784449072874685e-24
96	TNRC6A	6.3749997597508704e-24
97	SMG7	3.0103113622218183e-24
98	LATS1	9.958118915714667e-25
99	DLG5	7.086019851746649e-25
100	ANKRD26	1.6380645901293352e-24
